customer_id,customer_name,email,signup_date,segment,province
C002316,Customer_2316,customer_2316@example.com,2020-01-01,New,NL
C005083,Customer_5083,customer_5083@example.com,2020-01-01,New,ON
C008283,Customer_8283,customer_8283@example.com,2020-01-01,High Value,SK
C009284,Customer_9284,customer_9284@example.com,2020-01-02,Returning,MB
C006302,Customer_6302,customer_6302@example.com,2020-01-02,High Value,NB
C005760,Customer_5760,customer_5760@example.com,2020-01-02,High Value,MB
C006906,Customer_6906,customer_6906@example.com,2020-01-02,Returning,NS
C003674,Customer_3674,customer_3674@example.com,2020-01-02,New,SK
C002442,Customer_2442,customer_2442@example.com,2020-01-02,High Value,AB
C009106,Customer_9106,customer_9106@example.com,2020-01-03,New,SK
C004691,Customer_4691,customer_4691@example.com,2020-01-03,Returning,NL
C001409,Customer_1409,customer_1409@example.com,2020-01-03,Returning,NB
C002259,Customer_2259,customer_2259@example.com,2020-01-03,Returning,NB
C001488,Customer_1488,customer_1488@example.com,2020-01-03,Returning,NS
C007363,Customer_7363,customer_7363@example.com,2020-01-03,New,NL
C008838,Customer_8838,customer_8838@example.com,2020-01-05,New,QC
C006984,Customer_6984,customer_6984@example.com,2020-01-05,New,NL
C006741,Customer_6741,customer_6741@example.com,2020-01-05,Returning,BC
C005462,Customer_5462,customer_5462@example.com,2020-01-05,Returning,MB
C001996,Customer_1996,customer_1996@example.com,2020-01-05,High Value,QC
C001913,Customer_1913,customer_1913@example.com,2020-01-06,Returning,AB
C001739,Customer_1739,customer_1739@example.com,2020-01-06,Returning,BC
C008630,Customer_8630,,2020-01-06,Returning,MB
C007067,Customer_7067,customer_7067@example.com,2020-01-07,New,SK
C006414,Customer_6414,customer_6414@example.com,2020-01-07,Returning,NL
C000901,Customer_901,customer_901@example.com,2020-01-08,High Value,QC
C001622,Customer_1622,customer_1622@example.com,2020-01-08,New,NS
C007205,Customer_7205,customer_7205@example.com,2020-01-08,Returning,AB
C006358,Customer_6358,customer_6358@example.com,2020-01-08,High Value,NL
C005170,Customer_5170,customer_5170@example.com,2020-01-08,New,BC
C009546,Customer_9546,customer_9546@example.com,2020-01-09,Returning,SK
C001237,Customer_1237,customer_1237@example.com,2020-01-09,Returning,BC
C001294,Customer_1294,customer_1294@example.com,2020-01-09,High Value,SK
C002628,Customer_2628,customer_2628@example.com,2020-01-09,High Value,PE
C002789,Customer_2789,customer_2789@example.com,2020-01-09,Returning,ON
C006229,Customer_6229,customer_6229@example.com,2020-01-09,Returning,BC
C004598,Customer_4598,customer_4598@example.com,2020-01-09,New,AB
C006057,Customer_6057,customer_6057@example.com,2020-01-09,New,NB
C006521,Customer_6521,customer_6521@example.com,2020-01-09,Returning,SK
C003217,Customer_3217,customer_3217@example.com,2020-01-10,High Value,AB
C000845,Customer_845,customer_845@example.com,2020-01-10,Returning,SK
C000381,Customer_381,customer_381@example.com,2020-01-10,New,AB
C002646,Customer_2646,customer_2646@example.com,2020-01-10,New,AB
C000846,Customer_846,customer_846@example.com,2020-01-10,High Value,SK
C008871,Customer_8871,customer_8871@example.com,2020-01-11,New,QC
C008312,Customer_8312,customer_8312@example.com,2020-01-12,Returning,NL
C008989,Customer_8989,customer_8989@example.com,2020-01-12,High Value,NL
C009691,Customer_9691,customer_9691@example.com,2020-01-12,High Value,NB
C000465,Customer_465,customer_465@example.com,2020-01-12,New,AB
C009550,Customer_9550,customer_9550@example.com,2020-01-12,New,ON
C004885,Customer_4885,customer_4885@example.com,2020-01-12,New,NS
C006155,Customer_6155,customer_6155@example.com,2020-01-13,New,NL
C006926,Customer_6926,customer_6926@example.com,2020-01-13,New,QC
C006878,Customer_6878,customer_6878@example.com,2020-01-13,New,AB
C005719,Customer_5719,customer_5719@example.com,2020-01-13,New,NL
C002202,Customer_2202,customer_2202@example.com,2020-01-14,New,NS
C007989,Customer_7989,,2020-01-14,Returning,PE
C008562,Customer_8562,customer_8562@example.com,2020-01-14,New,MB
C004361,Customer_4361,customer_4361@example.com,2020-01-14,New,NB
C000104,Customer_104,customer_104@example.com,2020-01-14,Returning,NL
C001279,Customer_1279,customer_1279@example.com,2020-01-15,Returning,BC
C000707,Customer_707,customer_707@example.com,2020-01-15,High Value,BC
C003399,Customer_3399,customer_3399@example.com,2020-01-15,High Value,ON
C007727,Customer_7727,customer_7727@example.com,2020-01-15,High Value,PE
C009009,Customer_9009,customer_9009@example.com,2020-01-15,High Value,BC
C004689,Customer_4689,customer_4689@example.com,2020-01-15,New,ON
C001807,Customer_1807,customer_1807@example.com,2020-01-16,Returning,ON
C004131,Customer_4131,customer_4131@example.com,2020-01-16,New,MB
C001532,Customer_1532,customer_1532@example.com,2020-01-17,High Value,AB
C009932,Customer_9932,customer_9932@example.com,2020-01-17,New,NS
C007969,Customer_7969,customer_7969@example.com,2020-01-17,New,AB
C003725,Customer_3725,customer_3725@example.com,2020-01-17,Returning,NS
C009125,Customer_9125,customer_9125@example.com,2020-01-18,Returning,NS
C005603,Customer_5603,customer_5603@example.com,2020-01-18,High Value,SK
C002443,Customer_2443,customer_2443@example.com,2020-01-18,Returning,QC
C001763,Customer_1763,customer_1763@example.com,2020-01-19,High Value,PE
C006591,Customer_6591,customer_6591@example.com,2020-01-19,Returning,NL
C000303,Customer_303,customer_303@example.com,2020-01-19,Returning,AB
C003799,Customer_3799,customer_3799@example.com,2020-01-19,New,NL
C001070,Customer_1070,customer_1070@example.com,2020-01-20,New,NB
C004788,Customer_4788,customer_4788@example.com,2020-01-20,New,ON
C009676,Customer_9676,customer_9676@example.com,2020-01-20,New,MB
C003822,Customer_3822,customer_3822@example.com,2020-01-21,Returning,MB
C005880,Customer_5880,customer_5880@example.com,2020-01-21,Returning,NB
C006151,Customer_6151,customer_6151@example.com,2020-01-21,New,BC
C005916,Customer_5916,customer_5916@example.com,2020-01-22,High Value,PE
C009933,Customer_9933,customer_9933@example.com,2020-01-22,High Value,NB
C005438,Customer_5438,customer_5438@example.com,2020-01-23,High Value,AB
C005078,Customer_5078,customer_5078@example.com,2020-01-23,New,SK
C006747,Customer_6747,customer_6747@example.com,2020-01-23,New,NS
C000801,Customer_801,customer_801@example.com,2020-01-23,Returning,SK
C008610,Customer_8610,customer_8610@example.com,2020-01-23,New,PE
C001682,Customer_1682,customer_1682@example.com,2020-01-23,High Value,SK
C009199,Customer_9199,customer_9199@example.com,2020-01-24,High Value,AB
C006436,Customer_6436,customer_6436@example.com,2020-01-24,Returning,BC
C007517,Customer_7517,customer_7517@example.com,2020-01-24,Returning,MB
C004046,Customer_4046,customer_4046@example.com,2020-01-26,New,ON
C008836,Customer_8836,customer_8836@example.com,2020-01-26,Returning,AB
C007992,Customer_7992,customer_7992@example.com,2020-01-26,Returning,NL
C000410,Customer_410,,2020-01-26,High Value,AB
C004230,Customer_4230,customer_4230@example.com,2020-01-26,New,AB
C008444,Customer_8444,customer_8444@example.com,2020-01-26,High Value,ON
C001121,Customer_1121,customer_1121@example.com,2020-01-26,New,NS
C003103,Customer_3103,customer_3103@example.com,2020-01-27,Returning,QC
C007489,Customer_7489,customer_7489@example.com,2020-01-27,High Value,NL
C006527,Customer_6527,customer_6527@example.com,2020-01-27,New,MB
C000839,Customer_839,customer_839@example.com,2020-01-27,Returning,BC
C006471,Customer_6471,customer_6471@example.com,2020-01-29,New,SK
C009681,Customer_9681,customer_9681@example.com,2020-01-29,High Value,AB
C000889,Customer_889,customer_889@example.com,2020-01-29,High Value,MB
C007227,Customer_7227,,2020-01-29,New,NB
C003136,Customer_3136,customer_3136@example.com,2020-01-29,Returning,SK
C005142,Customer_5142,customer_5142@example.com,2020-01-29,High Value,MB
C007599,Customer_7599,customer_7599@example.com,2020-01-29,Returning,PE
C007602,Customer_7602,customer_7602@example.com,2020-01-29,High Value,AB
C009632,Customer_9632,customer_9632@example.com,2020-01-30,New,BC
C006281,Customer_6281,customer_6281@example.com,2020-01-30,New,MB
C007135,Customer_7135,customer_7135@example.com,2020-01-30,High Value,NL
C009285,Customer_9285,customer_9285@example.com,2020-01-30,Returning,ON
C008509,Customer_8509,customer_8509@example.com,2020-01-30,New,SK
C004104,Customer_4104,,2020-01-30,Returning,AB
C006142,Customer_6142,customer_6142@example.com,2020-01-30,New,NB
C009584,Customer_9584,customer_9584@example.com,2020-01-31,Returning,NS
C005745,Customer_5745,customer_5745@example.com,2020-01-31,Returning,NS
C007064,Customer_7064,customer_7064@example.com,2020-01-31,Returning,PE
C009547,Customer_9547,customer_9547@example.com,2020-01-31,Returning,AB
C001624,Customer_1624,customer_1624@example.com,2020-01-31,Returning,NS
C005068,Customer_5068,customer_5068@example.com,2020-01-31,High Value,AB
C004505,Customer_4505,customer_4505@example.com,2020-01-31,Returning,ON
C003505,Customer_3505,customer_3505@example.com,2020-02-01,Returning,QC
C001366,Customer_1366,customer_1366@example.com,2020-02-02,New,ON
C003898,Customer_3898,customer_3898@example.com,2020-02-02,New,AB
C000415,Customer_415,customer_415@example.com,2020-02-02,Returning,QC
C000478,Customer_478,customer_478@example.com,2020-02-02,Returning,NB
C008683,Customer_8683,customer_8683@example.com,2020-02-02,New,AB
C003858,Customer_3858,customer_3858@example.com,2020-02-03,High Value,BC
C008674,Customer_8674,customer_8674@example.com,2020-02-03,New,NB
C004117,Customer_4117,,2020-02-04,New,NS
C001594,Customer_1594,customer_1594@example.com,2020-02-04,High Value,ON
C009002,Customer_9002,customer_9002@example.com,2020-02-04,Returning,PE
C004527,Customer_4527,customer_4527@example.com,2020-02-04,Returning,BC
C008945,Customer_8945,,2020-02-05,New,NS
C008806,Customer_8806,customer_8806@example.com,2020-02-05,New,NB
C008334,Customer_8334,customer_8334@example.com,2020-02-05,New,NL
C000233,Customer_233,customer_233@example.com,2020-02-05,Returning,ON
C009935,Customer_9935,customer_9935@example.com,2020-02-06,High Value,MB
C002090,Customer_2090,customer_2090@example.com,2020-02-06,New,NB
C005746,Customer_5746,customer_5746@example.com,2020-02-06,Returning,QC
C008637,Customer_8637,customer_8637@example.com,2020-02-07,New,NB
C004563,Customer_4563,customer_4563@example.com,2020-02-07,New,MB
C008272,Customer_8272,customer_8272@example.com,2020-02-07,Returning,NB
C001529,Customer_1529,customer_1529@example.com,2020-02-07,Returning,SK
C008496,Customer_8496,customer_8496@example.com,2020-02-07,Returning,SK
C006893,Customer_6893,customer_6893@example.com,2020-02-07,Returning,BC
C009073,Customer_9073,customer_9073@example.com,2020-02-07,Returning,QC
C003788,Customer_3788,customer_3788@example.com,2020-02-08,Returning,AB
C005035,Customer_5035,customer_5035@example.com,2020-02-08,High Value,SK
C005897,Customer_5897,customer_5897@example.com,2020-02-08,New,BC
C002171,Customer_2171,customer_2171@example.com,2020-02-08,Returning,PE
C000540,Customer_540,customer_540@example.com,2020-02-08,New,BC
C004062,Customer_4062,customer_4062@example.com,2020-02-09,High Value,NB
C004076,Customer_4076,customer_4076@example.com,2020-02-10,New,BC
C008175,Customer_8175,customer_8175@example.com,2020-02-10,New,MB
C000369,Customer_369,customer_369@example.com,2020-02-10,High Value,QC
C001167,Customer_1167,customer_1167@example.com,2020-02-10,Returning,BC
C003805,Customer_3805,customer_3805@example.com,2020-02-10,Returning,ON
C000272,Customer_272,customer_272@example.com,2020-02-11,High Value,SK
C007586,Customer_7586,customer_7586@example.com,2020-02-12,New,NS
C002138,Customer_2138,customer_2138@example.com,2020-02-12,New,AB
C006707,Customer_6707,customer_6707@example.com,2020-02-12,Returning,NS
C003119,Customer_3119,,2020-02-13,New,NS
C002712,Customer_2712,customer_2712@example.com,2020-02-13,Returning,MB
C008995,Customer_8995,customer_8995@example.com,2020-02-13,New,ON
C003309,Customer_3309,,2020-02-13,New,NL
C004700,Customer_4700,customer_4700@example.com,2020-02-13,New,ON
C006219,Customer_6219,customer_6219@example.com,2020-02-13,Returning,NS
C000821,Customer_821,customer_821@example.com,2020-02-13,Returning,ON
C001783,Customer_1783,customer_1783@example.com,2020-02-13,Returning,NL
C002261,Customer_2261,,2020-02-13,High Value,MB
C003442,Customer_3442,customer_3442@example.com,2020-02-14,New,AB
C009118,Customer_9118,customer_9118@example.com,2020-02-14,New,NL
C009373,Customer_9373,customer_9373@example.com,2020-02-14,High Value,BC
C000454,Customer_454,customer_454@example.com,2020-02-15,New,QC
C001180,Customer_1180,customer_1180@example.com,2020-02-15,Returning,NB
